folds,eta,max_depth,colsample_bytree,subsample,lambda,bestLoss,bestRound
8,0.028,4,0.8,0.95,0,0.454964,357
10,0.028,4,0.8,0.95,0,0.452566,357
8,0.03,4,0.8,0.95,0,0.454349,333
10,0.03,4,0.8,0.95,0,0.45008,333
8,0.01,5,0.8,0.95,0,0.437316,1000
10,0.01,5,0.8,0.95,0,0.437004,995
8,0.012,5,0.8,0.95,0,0.439003,833
10,0.012,5,0.8,0.95,0,0.439613,833
8,0.014,5,0.8,0.95,0,0.437597,714
10,0.014,5,0.8,0.95,0,0.433727,714
8,0.016,5,0.8,0.95,0,0.434803,621
10,0.016,5,0.8,0.95,0,0.431563,623
8,0.018,5,0.8,0.95,0,0.435815,556
10,0.018,5,0.8,0.95,0,0.433421,554
8,0.02,5,0.8,0.95,0,0.437883,500
10,0.02,5,0.8,0.95,0,0.438058,500
8,0.022,5,0.8,0.95,0,0.433494,455
10,0.022,5,0.8,0.95,0,0.440608,455
8,0.024,5,0.8,0.95,0,0.438569,417
10,0.024,5,0.8,0.95,0,0.437396,417
8,0.026,5,0.8,0.95,0,0.440831,383
10,0.026,5,0.8,0.95,0,0.440966,379
8,0.028,5,0.8,0.95,0,0.437889,355
10,0.028,5,0.8,0.95,0,0.438201,357
8,0.03,5,0.8,0.95,0,0.446045,333
10,0.03,5,0.8,0.95,0,0.438658,333
8,0.01,6,0.8,0.95,0,0.433976,934
10,0.01,6,0.8,0.95,0,0.435706,984
8,0.012,6,0.8,0.95,0,0.428617,833
10,0.012,6,0.8,0.95,0,0.42714,824
8,0.014,6,0.8,0.95,0,0.433721,643
10,0.014,6,0.8,0.95,0,0.43187,680
8,0.016,6,0.8,0.95,0,0.42905,620
10,0.016,6,0.8,0.95,0,0.435599,622
8,0.018,6,0.8,0.95,0,0.42909,556
10,0.018,6,0.8,0.95,0,0.43192,555
8,0.02,6,0.8,0.95,0,0.431936,500
10,0.02,6,0.8,0.95,0,0.427868,487
8,0.022,6,0.8,0.95,0,0.431897,436
10,0.022,6,0.8,0.95,0,0.432169,434
8,0.024,6,0.8,0.95,0,0.428658,397
